ano,mes,data,regiao,uf,cidade,tipo_acidente,periodo_dia,acidentes,feridos,mortes,chuva_mm,visibilidade,veiculos_envolvidos,nivel_gravidade
2015,1,2015-01-01,Norte,AM,Manaus,Atropelamento,Noite,19,13,2,57.0,Muito ruim,31,Cr?tico
2015,1,2015-01-01,Norte,PA,Bel?m,Colis?o,Madrugada,21,10,1,28.4,Muito ruim,38,Cr?tico
2015,1,2015-01-01,Norte,PA,Santar?m,Capotamento,Noite,5,4,0,0.0,Boa,11,Leve
2015,1,2015-01-01,Norte,RO,Porto Velho,Atropelamento,Tarde,10,8,0,13.6,Moderada,14,Leve
2015,1,2015-01-01,Norte,TO,Palmas,Capotamento,Madrugada,12,6,1,44.7,Boa,23,Grave
2015,1,2015-01-01,Nordeste,BA,Salvador,Colis?o,Madrugada,32,18,1,78.3,Ruim,54,Cr?tico
2015,1,2015-01-01,Nordeste,BA,Feira de Santana,Capotamento,Tarde,21,14,0,7.0,Boa,34,Moderado
2015,1,2015-01-01,Nordeste,PE,Recife,Colis?o,Noite,26,15,0,24.1,Boa,36,Moderado
2015,1,2015-01-01,Nordeste,PE,Jaboat?o dos Guararapes,Colis?o,Noite,24,16,1,27.2,Moderada,42,Cr?tico
2015,1,2015-01-01,Nordeste,CE,Fortaleza,Colis?o,Noite,20,9,1,0.0,Ruim,27,Grave
2015,1,2015-01-01,Nordeste,CE,Juazeiro do Norte,Colis?o,Noite,32,26,2,61.3,Ruim,43,Cr?tico
2015,1,2015-01-01,Nordeste,MA,S?o Lu?s,Capotamento,Noite,21,12,2,37.4,Ruim,34,Cr?tico
2015,1,2015-01-01,Nordeste,PB,Jo?o Pessoa,Colis?o,Madrugada,32,20,2,54.8,Boa,47,Cr?tico
2015,1,2015-01-01,Centro-Oeste,DF,Bras?lia,Colis?o,Noite,21,13,1,38.8,Moderada,34,Cr?tico
2015,1,2015-01-01,Centro-Oeste,GO,Goi?nia,Atropelamento,Tarde,22,21,1,48.3,Boa,42,Cr?tico
2015,1,2015-01-01,Centro-Oeste,GO,Aparecida de Goi?nia,Sa?da de pista,Manh?,10,6,0,8.4,Boa,17,Leve
2015,1,2015-01-01,Centro-Oeste,MT,Cuiab?,Colis?o,Manh?,18,8,1,48.2,Moderada,35,Grave
2015,1,2015-01-01,Centro-Oeste,MS,Campo Grande,Sa?da de pista,Noite,15,12,0,0.0,Moderada,23,Leve
2015,1,2015-01-01,Sudeste,SP,S?o Paulo,Atropelamento,Noite,33,26,1,41.9,Moderada,50,Cr?tico
2015,1,2015-01-01,Sudeste,SP,Campinas,Colis?o,Noite,37,17,2,30.2,Muito ruim,64,Cr?tico
2015,1,2015-01-01,Sudeste,SP,Ribeir?o Preto,Atropelamento,Noite,44,31,2,86.9,Muito ruim,94,Cr?tico
